[2025-03-28T00:56:32.727347044Z] [Objectname:/aws-opendata/us-west-2/ncar-cesm2-lens/atm/daily/cesm2LE-historical-cmip6-TREFHT.zarr/TREFHT/22.32.0.0] [Host:47.12.110.161] [Server:10.129.175.98] [Read:8388608] [Write:0]
[2025-03-27T03:21:59.304471928Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-ssp370-cmip6-TEMP.zarr/time_bound/0.0] [Host:128.117.208.173] [Server:127.0.0.1] [Read:2877] [Write:0]
[2025-03-27T03:21:59.293211497Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/time/0] [Host:128.117.208.173] [Server:127.0.0.1] [Read:3376] [Write:0]
[2025-03-27T03:21:59.293323839Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/member_id/0] [Host:128.117.208.173] [Server:127.0.0.1] [Read:246] [Write:0]
[2025-03-27T03:27:00.086325789Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/35.0.0.0.0] [Host:128.117.208.176] [Server:127.0.0.1] [Read:85609232] [Write:0]
[2025-03-27T03:27:00.137556970Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/31.328.0.0.0] [Host:128.117.208.176] [Server:127.0.0.1] [Read:85557297] [Write:0]
[2025-03-27T03:27:00.120399819Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/42.328.0.0.0] [Host:128.117.208.173] [Server:127.0.0.1] [Read:85525276] [Write:0]
[2025-03-27T03:27:00.135147949Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/34.0.0.0.0] [Host:128.117.208.173] [Server:127.0.0.1] [Read:85392323] [Write:0]
[2025-03-27T03:49:58.466493134Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/45.328.0.0.0] [Host:128.117.208.173] [Server:127.0.0.1] [Read:85498449] [Write:0]
[2025-03-27T03:49:58.473789993Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/46.328.0.0.0] [Host:128.117.208.174] [Server:127.0.0.1] [Read:85581138] [Write:0]
[2025-03-27T03:49:58.472690312Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/46.0.0.0.0] [Host:128.117.208.176] [Server:127.0.0.1] [Read:85530328] [Write:0]
[2025-03-27T03:49:58.476385253Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/35.328.0.0.0] [Host:128.117.208.175] [Server:127.0.0.1] [Read:85561944] [Write:0]
[2025-03-27T03:49:58.491711554Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/33.0.0.0.0] [Host:128.117.208.176] [Server:127.0.0.1] [Read:85497838] [Write:0]
[2025-03-27T03:49:58.544677776Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/32.0.0.0.0] [Host:128.117.208.173] [Server:127.0.0.1] [Read:85467231] [Write:0]
[2025-03-27T03:49:58.456379331Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/47.328.0.0.0] [Host:128.117.208.173] [Server:127.0.0.1] [Read:85535703] [Write:0]
[2025-03-27T03:49:58.488913542Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/34.0.0.0.0] [Host:128.117.208.174] [Server:127.0.0.1] [Read:85392323] [Write:0]
[2025-03-27T03:49:58.488854595Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/37.328.0.0.0] [Host:128.117.208.174] [Server:127.0.0.1] [Read:85461634] [Write:0]
[2025-03-27T03:49:58.554763383Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/27.328.0.0.0] [Host:128.117.208.175] [Server:127.0.0.1] [Read:85560646] [Write:0]
[2025-03-27T03:49:58.476486797Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/34.328.0.0.0] [Host:128.117.208.174] [Server:127.0.0.1] [Read:85511215] [Write:0]
[2025-03-27T03:50:58.860890359Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/24.328.0.0.0] [Host:128.117.208.174] [Server:127.0.0.1] [Read:85429835] [Write:0]
[2025-03-27T03:50:58.865872179Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/24.0.0.0.0] [Host:128.117.208.175] [Server:127.0.0.1] [Read:85433914] [Write:0]
[2025-03-27T03:50:58.878326783Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/22.328.0.0.0] [Host:128.117.208.174] [Server:127.0.0.1] [Read:85518295] [Write:0]
[2025-03-27T03:50:58.957044358Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/20.0.0.0.0] [Host:128.117.208.173] [Server:127.0.0.1] [Read:85691225] [Write:0]
[2025-03-27T03:50:59.023823963Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/15.0.0.0.0] [Host:128.117.208.173] [Server:127.0.0.1] [Read:85561868] [Write:0]
[2025-03-27T03:50:59.031157510Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/48.0.0.0.0] [Host:128.117.208.174] [Server:127.0.0.1] [Read:85478751] [Write:0]
[2025-03-27T03:50:59.100835018Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/8.0.0.0.0] [Host:128.117.208.173] [Server:127.0.0.1] [Read:85480363] [Write:0]
[2025-03-27T03:50:58.879460515Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/21.0.0.0.0] [Host:128.117.208.174] [Server:127.0.0.1] [Read:85517438] [Write:0]
[2025-03-27T03:50:58.889835343Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/23.0.0.0.0] [Host:128.117.208.173] [Server:127.0.0.1] [Read:85504739] [Write:0]
[2025-03-27T03:50:58.925707241Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/21.328.0.0.0] [Host:128.117.208.173] [Server:127.0.0.1] [Read:85448392] [Write:0]
[2025-03-27T03:50:58.961037787Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/19.0.0.0.0] [Host:128.117.208.176] [Server:127.0.0.1] [Read:85443784] [Write:0]
[2025-03-27T03:50:59.002541928Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/49.328.0.0.0] [Host:128.117.208.174] [Server:127.0.0.1] [Read:85553116] [Write:0]
[2025-03-27T03:50:59.009048911Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/16.328.0.0.0] [Host:128.117.208.175] [Server:127.0.0.1] [Read:85414023] [Write:0]
[2025-03-27T03:50:59.009096965Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/17.0.0.0.0] [Host:128.117.208.173] [Server:127.0.0.1] [Read:85503959] [Write:0]
[2025-03-27T03:50:59.061711889Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/12.328.0.0.0] [Host:128.117.208.176] [Server:127.0.0.1] [Read:85633204] [Write:0]
[2025-03-27T03:50:59.134215869Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/9.328.0.0.0] [Host:128.117.208.174] [Server:127.0.0.1] [Read:85513132] [Write:0]
[2025-03-27T03:51:58.607904660Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/10.0.0.0.0] [Host:128.117.208.174] [Server:127.0.0.1] [Read:85562103] [Write:0]
[2025-03-27T03:51:58.608372903Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/28.328.0.0.0] [Host:128.117.208.176] [Server:127.0.0.1] [Read:85630245] [Write:0]
[2025-03-27T03:20:58.994414761Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-ssp370-smbb-TEMP.zarr/time/0] [Host:128.117.208.173] [Server:127.0.0.1] [Read:2193] [Write:0]
[2025-03-27T03:20:58.994763119Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-ssp370-smbb-TEMP.zarr/time/0] [Host:128.117.208.173] [Server:127.0.0.1] [Read:2193] [Write:0]
[2025-03-27T03:52:58.622035663Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/5.328.0.0.0] [Host:128.117.208.174] [Server:127.0.0.1] [Read:85569762] [Write:0]
[2025-03-27T03:52:58.621990936Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/7.0.0.0.0] [Host:128.117.208.176] [Server:127.0.0.1] [Read:85522730] [Write:0]
[2025-03-27T03:52:58.622071001Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/4.328.0.0.0] [Host:128.117.208.174] [Server:127.0.0.1] [Read:85527006] [Write:0]
[2025-03-27T03:53:58.562505555Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/6.328.0.0.0] [Host:128.117.208.173] [Server:127.0.0.1] [Read:85545367] [Write:0]
[2025-03-27T03:53:58.575851962Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/10.328.0.0.0] [Host:128.117.208.175] [Server:127.0.0.1] [Read:85575574] [Write:0]
[2025-03-27T03:54:58.928950006Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/6.0.0.0.0] [Host:128.117.208.173] [Server:127.0.0.1] [Read:85513543] [Write:0]
[2025-03-27T03:56:58.746172462Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/1.328.0.0.0] [Host:128.117.208.176] [Server:127.0.0.1] [Read:33554432] [Write:0]
[2025-03-27T03:56:58.748496147Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/1.0.0.0.0] [Host:128.117.208.175] [Server:127.0.0.1] [Read:33554432] [Write:0]
[2025-03-27T03:56:58.746249819Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/3.0.0.0.0] [Host:128.117.208.176] [Server:127.0.0.1] [Read:41943040] [Write:0]
[2025-03-27T03:56:58.748411573Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/0.328.0.0.0] [Host:128.117.208.173] [Server:127.0.0.1] [Read:25165824] [Write:0]
[2025-03-27T03:56:58.752573862Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/2.328.0.0.0] [Host:128.117.208.174] [Server:127.0.0.1] [Read:50331648] [Write:0]
[2025-03-27T03:25:59.311335921Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/47.328.0.0.0] [Host:128.117.208.173] [Server:127.0.0.1] [Read:85535703] [Write:0]
[2025-03-27T03:25:59.311286545Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/46.0.0.0.0] [Host:128.117.208.173] [Server:127.0.0.1] [Read:85530328] [Write:0]
[2025-03-27T03:25:59.433980736Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/35.328.0.0.0] [Host:128.117.208.176] [Server:127.0.0.1] [Read:85561944] [Write:0]
[2025-03-27T03:25:59.317154551Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/36.0.0.0.0] [Host:128.117.208.176] [Server:127.0.0.1] [Read:85579809] [Write:0]
[2025-03-27T03:25:59.431207791Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/36.328.0.0.0] [Host:128.117.208.175] [Server:127.0.0.1] [Read:85432913] [Write:0]
[2025-03-27T03:25:59.334120900Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/37.0.0.0.0] [Host:128.117.208.173] [Server:127.0.0.1] [Read:85545548] [Write:0]
[2025-03-27T03:29:59.051338715Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/24.328.0.0.0] [Host:128.117.208.174] [Server:127.0.0.1] [Read:85429835] [Write:0]
[2025-03-27T03:29:59.145814768Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/20.328.0.0.0] [Host:128.117.208.173] [Server:127.0.0.1] [Read:85525921] [Write:0]
[2025-03-27T03:29:59.145865624Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/22.328.0.0.0] [Host:128.117.208.174] [Server:127.0.0.1] [Read:85518295] [Write:0]
[2025-03-27T03:29:59.132448313Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/24.0.0.0.0] [Host:128.117.208.175] [Server:127.0.0.1] [Read:85433914] [Write:0]
[2025-03-27T03:30:59.327175762Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/20.0.0.0.0] [Host:128.117.208.173] [Server:127.0.0.1] [Read:85691225] [Write:0]
[2025-03-27T03:36:59.481774593Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/17.0.0.0.0] [Host:128.117.208.173] [Server:127.0.0.1] [Read:83886080] [Write:0]
[2025-03-27T03:36:59.512287153Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/14.0.0.0.0] [Host:128.117.208.173] [Server:127.0.0.1] [Read:85436870] [Write:0]
[2025-03-27T03:37:58.277764897Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/33.0.0.0.0] [Host:128.117.208.174] [Server:127.0.0.1] [Read:85497838] [Write:0]
[2025-03-27T03:37:58.272022527Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/35.0.0.0.0] [Host:128.117.208.176] [Server:127.0.0.1] [Read:85609232] [Write:0]
[2025-03-27T03:37:58.285093689Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/43.0.0.0.0] [Host:128.117.208.173] [Server:127.0.0.1] [Read:85479303] [Write:0]
[2025-03-27T03:37:58.204599830Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/45.0.0.0.0] [Host:128.117.208.176] [Server:127.0.0.1] [Read:85561945] [Write:0]
[2025-03-27T03:37:58.204627649Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/45.328.0.0.0] [Host:128.117.208.175] [Server:127.0.0.1] [Read:85498449] [Write:0]
[2025-03-27T03:37:58.243703144Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/38.0.0.0.0] [Host:128.117.208.174] [Server:127.0.0.1] [Read:85494612] [Write:0]
[2025-03-27T03:37:58.271950072Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/34.328.0.0.0] [Host:128.117.208.176] [Server:127.0.0.1] [Read:85511215] [Write:0]
[2025-03-27T03:37:58.292490656Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/TEMP/32.0.0.0.0] [Host:128.117.208.175] [Server:127.0.0.1] [Read:85467231] [Write:0]
[2025-03-27T20:34:24.510394331Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-ssp370-cmip6-TEMP.zarr/time_bound/0.0] [Host:N/A] [Server:127.0.0.1] [Read:2877] [Write:0]
[2025-03-27T20:34:24.510638451Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-ssp370-smbb-TEMP.zarr/member_id/0] [Host:N/A] [Server:127.0.0.1] [Read:243] [Write:0]
[2025-03-27T20:34:24.510714030Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-ssp370-smbb-TEMP.zarr/time/0] [Host:N/A] [Server:127.0.0.1] [Read:2193] [Write:0]
[2025-03-27T20:34:24.510753763Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/member_id/0] [Host:N/A] [Server:127.0.0.1] [Read:246] [Write:0]
[2025-03-27T20:34:24.510789254Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/time/0] [Host:N/A] [Server:127.0.0.1] [Read:3376] [Write:0]
[2025-03-27T20:34:24.510921579Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-ssp370-cmip6-TEMP.zarr/time/0] [Host:N/A] [Server:127.0.0.1] [Read:2193] [Write:0]
[2025-03-27T20:34:24.070591042Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-ssp370-smbb-TEMP.zarr/time/0] [Host:N/A] [Server:127.0.0.1] [Read:2193] [Write:0]
[2025-03-27T20:34:24.071342713Z] [Objectname:/ncar/rda/d010092/ocn/monthly/cesm2LE-historical-cmip6-TEMP.zarr/time_bound/0.0] [Host:N/A] [Server:127.0.0.1] [Read:4326] [Write:0]
